Header_1,Header_2,Header_3,content
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.2,,"Кредитная организация рассчитывает величину БИi на расчетную дату i-гогода по формуле:  
БИi\=ВПФДi\+ВУi\+ВФi,  
где:
ВПФДi \- величина процентных доходов и расходов, в том числе от финансовой аренды (лизинга), операционной аренды и в виде дивидендов (далее \- ВПФД), определяемая кредитной организацией на расчетную дату i-гогода в тысячах рублей в соответствии с [подпунктами 2.2.1-2.2.3](#bookmark=id.2jxsxqh) настоящего пункта;
ВУi \- величина комиссионных и операционных доходов и расходов (далее \- ВУ), определяемая кредитной организацией на расчетную дату i-гогода в тысячах рублей в соответствии с [подпунктом2.2.4](#bookmark=id.1ci93xb) настоящего пункта;
ВФi \- величина чистой прибыли (убытка) по финансовым операциям банковского и торгового портфелей (далее \- ВФ), определяемая кредитной организацией на расчетную дату i-гогода в тысячах рублей в соответствии с [подпунктом2.2.5](#bookmark=id.3whwml4) настоящего пункта."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.2,Пункт 2.2.1,"Кредитная организация не реже одного раза в год определяет во внутренних документах один из следующих способов расчета ВПФДi:
способ расчета ВПФДi без учета величины активов, приносящих процентный доход (далее \- АПД), в соответствии с [подпунктом2.2.2](#bookmark=id.z337ya) настоящего пункта(далее \- способ расчета ВПФДi без учета величины АПД);
способ расчета ВПФДi с учетом величины АПД в соответствии с [подпунктом2.2.3](#bookmark=id.1y810tw) настоящего пункта(далее \- способ расчета ВПФДi с учетом величины АПД).
В случае если кредитная организация на расчетную дату i-гогода выбирает способ расчета ВПФДi с учетом величины АПД, кредитная организация разрабатывает методику, указанную в [абзаце третьем подпункта4.3.1 пункта4.3](#bookmark=id.40ew0vw) настоящего Положения, и формирует на расчетную дату i-гогода отчет о расчете величины активов, приносящих процентный доход (рекомендуемый образец приведен в [приложении 1](#bookmark=id.356xmb2) к настоящему Положению)."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.2,Пункт 2.2.2,"В случае если кредитная организация на расчетную дату i-гогода выбирает способ расчета ВПФДi без учета величины АПД, кредитная организация рассчитывает ВПФДi по формуле:  
,  
где:
m \- год, за который кредитной организацией осуществляется расчет показателей, за исключением расчетногогода;
ДДm \- доходы в виде дивидендов (далее \- ДД), определяемые кредитной организацией в тысячах рублей за m-й год в соответствии с [подпунктом2.2.6](#bookmark=id.qsh70q) настоящего пункта и со [строкой 3](#bookmark=id.18vjpp8) таблицы, приведенной в приложении 2 к настоящему Положению;
h \- количество лет (от 1года до 3 лет), за которые кредитная организация обладает информацией, позволяющей рассчитать величину каждого показателя в соответствии с настоящим пунктом;
СЧПДРi \- средние чистые процентные доходы и расходы, определяемые кредитной организацией по формуле:  
,  
где:
ПДm \- процентные доходы (включая доходы от финансовой аренды (лизинга) (далее \- ПД), определяемые кредитной организацией в тысячах рублей за m-й год в соответствии с [подпунктом2.2.6](#bookmark=id.qsh70q) настоящего пунктаи со [строкой 1](#bookmark=id.4ekz59m) таблицы, приведенной в приложении 2 к настоящему Положению;
ПРm \- процентные расходы (включая расходы от финансовой аренды (лизинга) (далее \- ПР), определяемые кредитной организацией в тысячах рублей за m-й год в соответствии с [подпунктом2.2.6](#bookmark=id.qsh70q) настоящего пунктаи со [строкой 2](#bookmark=id.2tq9fhf) таблицы, приведенной в приложении 2 к настоящему Положению."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.2,Пункт 2.2.3,"В случае если кредитная организация выбирает способ расчета ВПФДi с учетом величины АПД, кредитная организация рассчитывает ВПФДi по формуле:  
,  
где:  
СЧАПДi \- средние чистые АПД, определяемые кредитной организацией по формуле:  
,  
где:
АПДm \- активы, приносящие процентный доход, включая кредиты, займы, прочие размещенные средства, приносящие процентный доход, остатки на корреспондентских счетах, по которым начисляются проценты, ценные бумаги и производные финансовые инструменты, доход и (или) расход по которым формируется процентными платежами, определяемые кредитной организацией в тысячах рублей на последний календарный день m-гогода (рекомендуемый образец отчета о расчете величины активов, приносящих процентный доход, приведен в [приложении 1](#bookmark=id.356xmb2) к настоящему Положению)."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.2,Пункт 2.2.4,"Кредитная организация рассчитывает ВУi по формуле:  
,  
где:
КДm \- комиссионные доходы, получаемые кредитной организацией в связи с осуществлением банковских операций (далее \- КД) и определяемые кредитной организацией в тысячах рублей за m-й год в соответствии с [подпунктом2.2.6](#bookmark=id.qsh70q) настоящего пунктаи со [строкой 4](#bookmark=id.3sv78d1) таблицы, приведенной в приложении 2 к настоящему Положению;
КРm \- комиссионные расходы, понесенные кредитной организацией в связи с осуществлением банковских операций (далее \- КР) и определяемые кредитной организацией в тысячах рублей за m-й год в соответствии с [подпунктом2.2.6](#bookmark=id.qsh70q) настоящего пунктаи со [строкой 5](#bookmark=id.280hiku) таблицы, приведенной в приложении 2 к настоящему Положению;
ОДm \- операционные доходы (далее \- ОД), определяемые кредитной организацией в тысячах рублей за m-й год в соответствии с [подпунктом2.2.6](#bookmark=id.qsh70q) настоящего пунктаи со [строкой 6](#bookmark=id.n5rssn) таблицы, приведенной в приложении 2 к настоящему Положению;
ОРm \- операционные расходы (далее \- ОР), определяемые кредитной организацией в тысячах рублей за m-й год в соответствии с [подпунктом2.2.6](#bookmark=id.qsh70q) настоящего пунктаи со [строкой 7](#bookmark=id.375fbgg) таблицы, приведенной в приложении 2 к настоящему Положению."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.2,Пункт 2.2.5,"Кредитная организация рассчитывает ВФi по формуле:  
,  
где:
ПТПm \- чистая прибыль (убыток) по финансовым операциям торгового портфеля (далее \- ПТП), определяемая кредитной организацией в тысячах рублей за m-й год в соответствии с [подпунктом2.2.6](#bookmark=id.qsh70q) настоящего пунктаи со [строкой 8](#bookmark=id.1maplo9) таблицы, приведенной в приложении 2 к настоящему Положению;
ПБПm \- чистая прибыль (убыток) по финансовым операциям банковского портфеля (далее \- ПБП), определяемая кредитной организацией в тысячах рублей за m-й год в соответствии с [подпунктом2.2.6](#bookmark=id.qsh70q) настоящего пунктаи со [строкой 9](#bookmark=id.46ad4c2) таблицы, приведенной в приложении 2 к настоящему Положению.  
Информация об изменениях:  
*Подпункт 2.2.6 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/12) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/226)*"
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.2,Пункт 2.2.6,"Показатели  определяются кредитной организацией с учетом следующего:
величина показателей за второй и третий год, предшествующие расчетному году, определяется по состоянию на дату составления годовой бухгалтерской (финансовой) отчетности года, следующего за вторым и третьим годом соответственно, на основании данных отчетности по [форме 0409102](http://ivo.garant.ru/document/redirect/406750235/1008) ""Отчет о финансовых результатах кредитной организации"" (далее \- отчетность по форме 0409102), отчетности по [форме 0409127](http://ivo.garant.ru/document/redirect/406750235/1024) ""Сведения о риске процентной ставки"" (далее \- отчетность по форме 0409127), установленных [Указанием](http://ivo.garant.ru/document/redirect/408453743/0) Банка России N6406-У, и других источников данных, определенных в методике расчета величины АПД, указанной в [абзаце третьем подпункта 4.3.1 пункта 4.3](#bookmark=id.40ew0vw) настоящего Положения, в случае если кредитная организация применяет способ расчета ВПФДi с учетом величины АПД, за второй и третий год на основании всех корректировок бухгалтерского учета по корректирующим событиям после отчетной даты соответствующего года, проведенных по счетам доходов и расходов до даты составления годовой бухгалтерской (финансовой) отчетности года, следующего за вторым и третьим годом соответственно, и далее не пересчитывается;
величина показателей за год, предшествующий расчетному году, рассчитывается на основании данных отчетности по [форме 0409102](http://ivo.garant.ru/document/redirect/406750235/1008), [0409127](http://ivo.garant.ru/document/redirect/406750235/1024), установленных [Указанием](http://ivo.garant.ru/document/redirect/408453743/0) Банка России N6406-У, и других источников данных, определенных в методике расчета величины АПД, в случае если кредитная организация применяет способ расчета ВПФДi с учетом величины АПД, за год, предшествующий расчетному году, по состоянию на 1 января расчетного года и дату составления годовой бухгалтерской (финансовой) отчетности расчетного года после завершения корректировок бухгалтерского учета по корректирующим событиям после отчетной даты года, предшествующего расчетному году, проведенных по счетам доходов и расходов."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.2,Пункт 2.2.7,"В случае если при определении величин показателей за третий и второй год, предшествующие первому расчетному году с даты начала применения настоящего Положения, у кредитной организации отсутствуют данные для расчета величины показателей на соответствующие годы, кредитная организация определяет указанные показатели следующим образом:
при наличии информации для расчета величины показателей, составляющих ВПФДi, ВУi и ВФi только за два календарныхгода, предшествующие первому расчетному году с даты начала применения настоящего Положения, указанные показатели определяются кредитной организацией как среднее арифметическое значение за эти два календарныхгода;
при наличии информации для расчета величины показателей, составляющих ВПФДi, ВУi и ВФi, только за один календарный год, предшествующий первому расчетному году с даты начала применения настоящего Положения, указанные показатели приравниваются кредитной организацией к величине показателей за данный календарный год.
Кредитная организация, созданная в течение расчетногогода, не рассчитывает размер ОРi на указанный год."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.3,,В случае реорганизации кредитная организация определяет величину БИi с учетом [подпункта2.2.7 пункта2.2](#bookmark=id.49x2ik5) настоящего Положения следующим образом.
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.3,Пункт 2.3.1,"Кредитная организация, образованная в результате слияния кредитных организаций, или кредитная организация, к которой произошло присоединение другой кредитной организации, рассчитывает величину БИi путем суммирования показателей, рассчитанных для всех кредитных организаций, участвующих в реорганизации, с исключением операций и сделок, проведенных между этими кредитными организациями до даты реорганизации, а также доходов и расходов от таких операций и сделок (в том числе от операций этих кредитных организаций с акциями (долями) и иными источниками собственных средств кредитных организаций, участвующих в реорганизации) и осуществляет перерасчет размера операционного риска на ближайшую дату расчета нормативов достаточности капитала от даты реорганизации для данной кредитной организации.
Кредитная организация, образованная в результате слияния кредитных организаций, или кредитная организация, к которой произошло присоединение другой кредитной организации, разрабатывает во внутренних документах методику расчета БИ, учитывающую величину БИ кредитных организаций, участвующих в реорганизации, и представляет ее в Банк России в течение 20 рабочих дней с даты реорганизации."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.3,Пункт 2.3.2,"Кредитные организации, образованные в результате разделения кредитной организации, или кредитная организация, образованная в результате выделения кредитных организаций, применяет рассчитанную величину БИi на последнюю расчетную дату до разделения или выделения пропорционально доле величины активов кредитной организации в доле активов, разделенных или выделенных кредитной организацией, на дату выделения или разделения."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.1,,"Кредитная организация в соответствии с [пунктом3.2](#bookmark=id.2grqrue) настоящего Положения применяет в расчете размера операционного риска один из следующих видов КВП:
фиксированный КВП, рассчитанный кредитной организацией в соответствии с [подпунктом3.1.1](#bookmark=id.32hioqz) настоящего пункта(далее \- фиксированный КВП);
расчетный КВП, рассчитанный кредитной организацией в соответствии с [подпунктом3.1.2](#bookmark=id.1hmsyys) настоящего пункта(далее \- расчетный КВП)."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.1,Пункт 3.1.1,"Кредитная организация определяет фиксированный КВПi на расчетную дату i-гогода по формуле:  
КВПi\=1+КНПi,  
где:
КНПi \- коэффициент неучтенных прямых потерь от реализации событий операционного риска в расчете размера операционного риска. Величина КНПi принимает значение, равное нулю, в случае если ведение кредитной организацией базы событий оценивается Банком России как соответствующее требованиям [Положения](http://ivo.garant.ru/document/redirect/74279372/0) Банка России N716-П. Величина КНПi принимает значение выше нуля, в случае если ведение кредитной организацией базы событий оценивается Банком России как не соответствующее требованиям Положения Банка России N716-П. Расчет значения КНПi для кредитной организации, применяющей фиксированный КВП, приведен в [пункте1](#bookmark=id.4l7dh4h) приложения 5 к настоящему Положению."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.1,Пункт 3.1.2,"Кредитная организация определяет расчетный КВПi на расчетную дату i-гогода по формуле:  
КВПi\=КВПБi\+КНПi,  
где:
КНПi \- коэффициент неучтенных прямых потерь от реализации событий операционного риска в расчете размера операционного риска. Величина КНПi принимает значение, равное нулю, в случае если ведение базы событий оценивается Банком России как соответствующее требованиям [Положения](http://ivo.garant.ru/document/redirect/74279372/0) Банка России N716-П. Величина КНПi принимает значение выше нуля, в случае если ведение базы событий оценивается Банком России как не соответствующее требованиям Положения Банка России N716-П. Расчет КНПi для кредитной организации, применяющей расчетный КВП, приведен в [пунктах 2-6](#bookmark=id.30cnrca) приложения 5 и [приложении 6](#bookmark=id.3drtnbb) к настоящему Положению;
КВПБi \- величина базового КВП, рассчитанная кредитной организацией по состоянию на расчетную дату i-гогода по формуле:  
,  
где:
ППi \- показатель потерь кредитной организации от реализации событий операционного риска (далее \- ПП), определяемый кредитной организацией на расчетную дату i-гогода по формуле, указанной в [абзаце втором пункта3.3](#bookmark=id.2zbgiuw) настоящего Положения."
